ID :  90, Time : 314, Before : 19, After :  7
ID :  98, Time : 315, Before :  4, After :  1
ID :  13, Time : 315, Before :  7, After :  6
ID :  17, Time : 316, Before :  4, After : 18
ID :  58, Time : 316, Before : 12, After :  2
ID :  41, Time : 318, Before :  5, After : 13
ID :  52, Time : 319, Before : 13, After :  7
ID :  79, Time : 320, Before : 10, After : 11
ID :  65, Time : 320, Before : 11, After : 18
ID : 100, Time : 321, Before :  1, After : 11
ID :  28, Time : 321, Before : 11, After : 13
ID :  39, Time : 321, Before : 13, After :  7
ID :  43, Time : 322, Before :  7, After :  6
ID :  79, Time : 326, Before : 11, After : 14
ID :  26, Time : 326, Before : 18, After :  5
ID : 100, Time : 327, Before : 11, After : 13
ID :  60, Time : 327, Before : 15, After : 18
ID :  81, Time : 327, Before : 17, After : 19
ID :   7, Time : 327, Before :  3, After : 13
ID :  15, Time : 328, Before : 19, After : 17
ID :  94, Time : 331, Before :  9, After :  5
ID :  16, Time : 331, Before : 13, After : 11
ID :  72, Time : 332, Before :  9, After :  5
ID :  95, Time : 334, Before : 15, After : 14
ID :  92, Time : 335, Before :  5, After : 18
ID :  17, Time : 336, Before : 18, After :  5
ID :  59, Time : 337, Before : 15, After :  5
ID :   2, Time : 337, Before :  8, After :  7
ID :  93, Time : 339, Before : 16, After : 11
ID :  32, Time : 339, Before : 14, After : 11
ID :   9, Time : 340, Before :  8, After : 15
ID :  55, Time : 340, Before : 14, After : 10
ID :  20, Time : 340, Before : 13, After : 16
ID :  86, Time : 340, Before : 14, After : 15
ID :  82, Time : 340, Before : 15, After :  8
ID :   4, Time : 342, Before :  2, After :  6
ID :  38, Time : 342, Before : 11, After :  3
ID :  58, Time : 342, Before :  2, After : 12
ID :  36, Time : 343, Before :  2, After :  3
ID : 100, Time : 343, Before : 13, After : 11
ID :  94, Time : 343, Before :  5, After :  9
ID :  57, Time : 344, Before :  2, After :  6
ID :  44, Time : 344, Before : 17, After : 11
ID :  35, Time : 344, Before : 17, After : 19
ID :  24, Time : 345, Before :  2, After :  3
ID :  78, Time : 347, Before : 13, After : 11
ID :  68, Time : 349, Before :  5, After : 18
ID :  82, Time : 349, Before :  8, After :  4
ID :  20, Time : 353, Before : 16, After : 13
ID :  74, Time : 354, Before : 10, After :  1
ID :  92, Time : 357, Before : 18, After :  8
ID :  65, Time : 358, Before : 18, After : 15
ID :  72, Time : 358, Before :  5, After :  9
ID :   4, Time : 359, Before :  6, After :  2
ID :  17, Time : 360, Before :  5, After :  4
ID :  37, Time : 362, Before : 17, After : 19
ID :  24, Time : 364, Before :  3, After :  2
ID :  56, Time : 364, Before :  7, After : 16
ID :  19, Time : 365, Before : 12, After :  2
ID :  26, Time : 366, Before :  5, After : 13
ID :  90, Time : 367, Before :  7, After :  8
ID :  11, Time : 370, Before :  9, After :  5
ID :  83, Time : 370, Before : 16, After : 11
ID :  87, Time : 371, Before : 19, After : 17
